method,dataset,seed,early_ratio,eval_region,test_cb_rmse,validation_metric,best_epoch,parameter_count,run_status,archive_group,source_class,source_sha256,adapter_version,adapter_sha256,model_commit,split_sha256
lstm,mit,2026,0.3,future,0.028518221008458307,0.0347542860545218,247,270224,complete,LSTM,repository_archive,05ecd15abcb388257859a7865379500af3ea057a9075af399f632be34c2a5fbf,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,b186d5cde964b92bedc87268ced080d9afabb3959d7e8f2bfb13cb5c0baebbd9
lstm,mit,2027,0.3,future,0.03241498056533081,0.03522644145414233,226,270224,complete,LSTM,repository_archive,3f5b8eba495e6f4c649d03fdc645e5f36f6b519fe069013531ad28339b8fbfdd,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,b186d5cde964b92bedc87268ced080d9afabb3959d7e8f2bfb13cb5c0baebbd9
lstm,mit,2028,0.3,future,0.028777796841625656,0.03547802274780614,240,270224,complete,LSTM,repository_archive,1293e7c6e3485db2c64fd1b83a957be68f940aa89f3231f7ae5411dd06c23e4d,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,b186d5cde964b92bedc87268ced080d9afabb3959d7e8f2bfb13cb5c0baebbd9
lstm,xjtu_lpo,2026,0.3,future,0.21604992578858914,0.21408378519117832,142,270224,complete,LSTM,repository_archive,9e73dc22a9732f52c83a07fc03c2ee0fe45c2c58f0ccda9d8103a9ba0d0f16ee,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,1d1b54651083db19c07334fe0832e42945e73f0c7a9b33badcc9f0b53c939dde
lstm,xjtu_lpo,2027,0.3,future,0.22010439310384833,0.23141255974769592,134,270224,complete,LSTM,repository_archive,aa4b82e2f17ea8c42bbb9e019f88feec4bdbd2519c5ac741e408fcd586b4c6b9,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,1d1b54651083db19c07334fe0832e42945e73f0c7a9b33badcc9f0b53c939dde
lstm,xjtu_lpo,2028,0.3,future,0.21216654388800912,0.19427707977592945,249,270224,complete,LSTM,repository_archive,03620e08e33026c85cb1769208d1a1d2766b3230d4ff2fabccb419bf0447f87f,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,1d1b54651083db19c07334fe0832e42945e73f0c7a9b33badcc9f0b53c939dde
transformer,aging_matrix,2026,0.3,future,0.15362600088119507,0.15351835638284683,249,480656,complete,vanilla Transformer,repository_archive,48f5559eb616a505e824436ff44f24d2ca331d7cbfeee7bef07d5b0745302951,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,ab36427c6d9611c6b504ff600663f3dd502bc82d0cfa1791d93e561819416cae
transformer,aging_matrix,2027,0.3,future,0.1701222151517868,0.1698320396244526,247,480656,complete,vanilla Transformer,repository_archive,a0933723445371971a970dece15d66bdbf3d9ce15a15c2a7bf11cf9c6feef2dc,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,ab36427c6d9611c6b504ff600663f3dd502bc82d0cfa1791d93e561819416cae
transformer,aging_matrix,2028,0.3,future,0.1454094648361206,0.14514170214533806,249,480656,complete,vanilla Transformer,repository_archive,89db6fd8ee228ba425322706c555acb502fa8522e30fc12849b3508161633058,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,ab36427c6d9611c6b504ff600663f3dd502bc82d0cfa1791d93e561819416cae
transformer,dynamic_cycling,2026,0.3,future,0.14481090440561897,0.14306725504306647,147,155344,complete,vanilla Transformer,repository_archive,0dcac51826484aa5388d6337a06ad0ed04eac42b4188e7da0042e7c86ed6071c,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4
