dataset,seed,cell_id,comparison,family,treatment,reference,rmse_treatment,rmse_reference,delta_rmse,relative_delta,direction,n_future_points
dynamic_cycling,2026,cell_072,Ag-A0,primary,Ag,A0,0.0029130917646999943,0.003733556274839477,-0.0008204645101394827,-0.21975415655808167,improve,1361
dynamic_cycling,2026,cell_080,Ag-A0,primary,Ag,A0,0.0066890134578344385,0.007656775512474347,-0.0009677620546399085,-0.12639289908176615,improve,1147
dynamic_cycling,2026,cell_082,Ag-A0,primary,Ag,A0,0.0029482392796895845,0.0023354079637504265,0.000612831315939158,0.26240867782047533,worse,1027
dynamic_cycling,2026,cell_086,Ag-A0,primary,Ag,A0,0.0012318228937017736,0.001149559527228218,8.226336647355567e-05,0.07156077134335664,worse,77
dynamic_cycling,2026,cell_089,Ag-A0,primary,Ag,A0,0.009472884593132112,0.008489296911698738,0.0009835876814333743,0.11586208983666646,worse,861
dynamic_cycling,2026,cell_093,Ag-A0,primary,Ag,A0,0.004113302078089802,0.003406574701274207,0.0007067273768155951,0.20745982072585942,worse,861
dynamic_cycling,2026,cell_009,Abc-A0,primary,Abc,A0,0.0030451573796261575,0.0011467768312476419,0.0018983805483785156,1.6554053907011381,worse,1147
dynamic_cycling,2026,cell_010,Abc-A0,primary,Abc,A0,0.0015915220427023713,0.0009927110460507718,0.0005988109966515995,0.6032077501643651,worse,1147
dynamic_cycling,2026,cell_019,Abc-A0,primary,Abc,A0,0.0110446528985824,0.010844363565148714,0.00020028933343368624,0.018469441035467497,worse,1147
dynamic_cycling,2026,cell_020,Abc-A0,primary,Abc,A0,0.009448437152709254,0.00923986021683796,0.0002085769358712939,0.022573602952477623,worse,1147
dynamic_cycling,2026,cell_030,Abc-A0,primary,Abc,A0,0.00258724326621886,0.0021971560508464165,0.0003900872153724433,0.17754187975049335,worse,1132
dynamic_cycling,2026,cell_031,Abc-A0,primary,Abc,A0,0.005342772683523432,0.004547483978231225,0.0007952887052922073,0.17488543315364036,worse,1085
dynamic_cycling,2026,cell_033,Abc-A0,primary,Abc,A0,0.0028384998662970046,0.0032884509807754774,-0.0004499511144784728,-0.13682767877913327,improve,1304
dynamic_cycling,2026,cell_045,Abc-A0,primary,Abc,A0,0.0027767876715634296,0.0029254209191042473,-0.00014863324754081772,-0.050807474086952464,improve,1575
dynamic_cycling,2026,cell_050,Abc-A0,primary,Abc,A0,0.0040856593374901835,0.005031328686066577,-0.0009456693485763931,-0.1879561856483887,improve,1004
dynamic_cycling,2026,cell_054,Abc-A0,primary,Abc,A0,0.0020786479080415225,0.0019513795116094565,0.00012726839643206604,0.06521970517518541,worse,1932
dynamic_cycling,2026,cell_056,Abc-A0,primary,Abc,A0,0.0038363483623103977,0.002651117788886706,0.0011852305734236916,0.4470682435884563,worse,1004
dynamic_cycling,2026,cell_060,Abc-A0,primary,Abc,A0,0.0025329210765494,0.0028373801570357646,-0.0003044590804863645,-0.10730288633738651,improve,1218
dynamic_cycling,2026,cell_068,Abc-A0,primary,Abc,A0,0.003121876752384435,0.0033270689288845898,-0.00020519217650015464,-0.061673557382216894,improve,1290
dynamic_cycling,2026,cell_072,Abc-A0,primary,Abc,A0,0.0029130917646999943,0.003733556274839477,-0.0008204645101394827,-0.21975415655808167,improve,1361
dynamic_cycling,2026,cell_080,Abc-A0,primary,Abc,A0,0.0066890134578344385,0.007656775512474347,-0.0009677620546399085,-0.12639289908176615,improve,1147
