dataset,dataset_label,panel,included_in_main_figure,series,arm,tau,median_soh,q25_soh,q75_soh,n_unique_test_cells,n_seeds,n_trajectories,aggregation_unit,interpolation,source_split
mit,MIT,a,True,Truth,truth,0.76767677,0.920108029269,0.913817572684,0.924223732075,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.77777778,0.916453642464,0.910235243266,0.919779005182,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.78787879,0.911926026229,0.905371726704,0.91548342233,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.79797980,0.907268828604,0.900314417222,0.911189942476,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.80808081,0.902219586999,0.894826301243,0.906722451879,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.81818182,0.897767865606,0.889274082311,0.902752671786,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.82828283,0.893002994143,0.882730783675,0.899149536465,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.83838384,0.887990428343,0.876738392448,0.892486468375,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.84848485,0.88285067395,0.870558101291,0.890078644062,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.85858586,0.877719310109,0.864067752134,0.886277986887,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.86868687,0.871532485856,0.857310480274,0.882761891655,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.87878788,0.865440341404,0.850899702754,0.878744603061,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.88888889,0.859406500554,0.844315102757,0.874602349483,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.89898990,0.853349893731,0.837859753507,0.869614089565,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.90909091,0.847468368874,0.831246637264,0.864941586542,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.91919192,0.841069840113,0.824426985181,0.860060781157,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.92929293,0.834910290637,0.81708463895,0.855280141233,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.93939394,0.828683507126,0.809935479005,0.850571872838,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
